epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,606.459,1.65685,1.39009,1.06763,0.71414,0.54682,0.58522,0.31304,1.50814,1.11874,1.01661,0.000664931,0.000664931,0.000664931
2,1211.43,1.5436,1.04599,1.03237,0.7338,0.58137,0.62615,0.34403,1.41246,0.94742,1.00207,0.00130523,0.00130523,0.00130523
3,1542.62,1.49909,0.99039,1.02503,0.74544,0.59839,0.64572,0.36619,1.36527,0.90362,1.003,0.00191913,0.00191913,0.00191913
4,1864.99,1.45593,0.94876,1.0148,0.72339,0.60299,0.64191,0.35562,1.36434,0.93754,0.99808,0.0018812,0.0018812,0.0018812
5,2118.29,1.42544,0.92304,1.00674,0.76791,0.62857,0.67781,0.38501,1.31626,0.84345,0.98653,0.0018416,0.0018416,0.0018416
6,2354.21,1.40429,0.90382,1.0013,0.77098,0.61294,0.6731,0.38489,1.29675,0.83404,0.97463,0.001802,0.001802,0.001802
7,2919.31,1.38501,0.89084,0.99712,0.78593,0.63353,0.69364,0.40903,1.25358,0.79515,0.96457,0.0017624,0.0017624,0.0017624
8,3246.55,1.35944,0.86555,0.99168,0.77606,0.63411,0.68802,0.40271,1.26345,0.80884,0.96844,0.0017228,0.0017228,0.0017228
9,3850.02,1.35396,0.85938,0.98855,0.7883,0.63928,0.69605,0.40818,1.25278,0.79733,0.97086,0.0016832,0.0016832,0.0016832
10,4394.89,1.33796,0.84766,0.98357,0.79609,0.6445,0.70856,0.41798,1.22291,0.77564,0.96619,0.0016436,0.0016436,0.0016436
11,4654.83,1.33447,0.84684,0.9856,0.80208,0.64092,0.69076,0.41354,1.20917,0.87379,0.9631,0.001604,0.001604,0.001604
12,5065.56,1.31727,0.83412,0.98257,0.80188,0.65397,0.71482,0.42257,1.20217,0.77941,0.95312,0.0015644,0.0015644,0.0015644
13,5309.33,1.30681,0.82595,0.98001,0.79536,0.64755,0.71024,0.42562,1.20477,0.77114,0.96068,0.0015248,0.0015248,0.0015248
14,5857.66,1.29754,0.8183,0.97835,0.79915,0.65833,0.71002,0.42389,1.19658,0.76284,0.96451,0.0014852,0.0014852,0.0014852
15,6088.98,1.28718,0.81,0.97462,0.79385,0.65602,0.71666,0.43259,1.1835,0.75079,0.95876,0.0014456,0.0014456,0.0014456
16,6480.56,1.28597,0.80977,0.97354,0.78438,0.65547,0.7096,0.42313,1.217,0.76636,0.96928,0.001406,0.001406,0.001406
17,6697.78,1.27718,0.8019,0.97239,0.78458,0.65765,0.71518,0.42693,1.20239,0.7638,0.96855,0.0013664,0.0013664,0.0013664
18,6967.19,1.27976,0.80363,0.97095,0.81324,0.66613,0.72781,0.44481,1.14598,0.72776,0.94667,0.0013268,0.0013268,0.0013268
19,7197.07,1.26806,0.79167,0.97005,0.80898,0.66719,0.72655,0.4442,1.15013,0.72623,0.9432,0.0012872,0.0012872,0.0012872
20,7418.37,1.26051,0.79134,0.9683,0.81057,0.67029,0.72982,0.44875,1.14109,0.71571,0.94568,0.0012476,0.0012476,0.0012476
21,7769.84,1.26287,0.79133,0.96787,0.81264,0.66912,0.73026,0.44913,1.13943,0.7151,0.94218,0.001208,0.001208,0.001208
22,8319.62,1.25466,0.7843,0.96582,0.80795,0.66762,0.731,0.44941,1.13844,0.71608,0.94456,0.0011684,0.0011684,0.0011684
23,8979.22,1.24409,0.7809,0.96547,0.79336,0.66657,0.72264,0.4383,1.16017,0.73429,0.95731,0.0011288,0.0011288,0.0011288
24,9314.89,1.23724,0.7741,0.9642,0.81017,0.67128,0.73497,0.45342,1.12482,0.71014,0.93811,0.0010892,0.0010892,0.0010892
25,9637.32,1.23774,0.77435,0.96288,0.81171,0.67352,0.73705,0.45556,1.12254,0.70342,0.9392,0.0010496,0.0010496,0.0010496
26,10464.9,1.23018,0.76616,0.96094,0.80721,0.67642,0.73651,0.45378,1.13157,0.70622,0.94483,0.00101,0.00101,0.00101
27,10892.5,1.22845,0.76427,0.96017,0.81762,0.67268,0.73508,0.45808,1.10259,0.69681,0.93544,0.0009704,0.0009704,0.0009704
28,11276.5,1.22792,0.76538,0.95942,0.81126,0.67506,0.73718,0.45251,1.12283,0.70526,0.94358,0.0009308,0.0009308,0.0009308
29,11505.6,1.21834,0.75776,0.95739,0.81437,0.67981,0.74166,0.46256,1.10311,0.68789,0.93445,0.0008912,0.0008912,0.0008912
30,11850.2,1.21729,0.75745,0.95719,0.81797,0.6786,0.74116,0.45926,1.11433,0.68909,0.94107,0.0008516,0.0008516,0.0008516
31,12098.7,1.21207,0.75449,0.95689,0.81281,0.68001,0.74348,0.46591,1.09744,0.68509,0.93613,0.000812,0.000812,0.000812
32,12437,1.21284,0.75577,0.95475,0.81757,0.68271,0.74511,0.46626,1.09018,0.67854,0.93178,0.0007724,0.0007724,0.0007724
33,12734.3,1.20652,0.74549,0.95486,0.81577,0.68773,0.74781,0.4652,1.10469,0.68375,0.93508,0.0007328,0.0007328,0.0007328
34,12978.9,1.20113,0.74222,0.95372,0.82261,0.68161,0.74613,0.46492,1.10213,0.67746,0.93757,0.0006932,0.0006932,0.0006932
35,13274.6,1.19613,0.73969,0.95332,0.81574,0.68139,0.7437,0.46218,1.1068,0.68684,0.94068,0.0006536,0.0006536,0.0006536
36,13532,1.1955,0.74135,0.95045,0.82428,0.6871,0.74903,0.46849,1.0898,0.67331,0.9319,0.000614,0.000614,0.000614
